CUSTOMERNAME|CUSTOMERTYPE|PARENTCUSTOMER|CUSTOMPROPERTY1|CUSTOMPROPERTY2|CUSTOMPROPERTY3|CUSTOMPROPERTY4|CUSTOMPROPERTY7|CUSTOMPROPERTY9|CUSTOMPROPERTY16|CUSTOMPROPERTY17|CUSTOMPROPERTY18|CUSTOMPROPERTY19|CUSTOMPROPERTY20|CUSTOMPROPERTY21
Philadelphia Marriott Old City|FS|0011I00000cJXheQAG|PHLMO|a1W1I000000aWKtUAM|F|Marriott Hotels & Resorts|NALO|East|0011I00000cJXmtQAG|0011I00000cJXmtQAG||Open||
Bethesda North Marriott Hotel & Conference Center|FS|0011I00000cJXVUQA4|WASBN|a1W1I000000aWLFUA2|M|Marriott Hotels & Resorts|NALO|East||0011I00000cJXV0QAO||Open||
Chantilly|MSB|0011I00000cJXVUQA4||a1W1I000000aWLWUA2|O|SpringHill Suites By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
Courtyard By Marriott Boston Copley Square|MSB|0011I00000cJXoDQAW|BOSDT|a1W1I000000aWLXUA2|F|Courtyard By Marriott|NALO|East|0011I00000cJXoDQAW|0011I00000cJXoDQAW||Open||
Courtyard By Marriott Birmingham Colonnade/Grandview|MSB|0011I00000cJXVUQA4|BHMSC|a1W1I000000aWJWUA2|M|Courtyard By Marriott|NALO|East||0011I00000cJSNyQAO||Deflagged||
Courtyard By Marriott Palm Springs|MSB|0011I00000cJXVUQA4|PSPCH|a1W1I000000aWJXUA2|M|Courtyard By Marriott|NALO|West||0011I00000cJWOMQA4||Open||
Courtyard By Marriott Memphis East/Park Avenue|MSB|0011I00000cJXVUQA4|MEMPA|a1W1I000000aWJvUAM|M|Courtyard By Marriott|NALO|East||0011I00000cJXhhQAG||Open||
Trenton Marriott Downtown|FS||TTNMC|a1W1I000000aWKNUA2|F|Marriott Hotels & Resorts|NALO|East||||Deflagged||
Knoxville Marriott|FS||TYSMC|a1W1I000000aWKOUA2|F|Marriott Hotels & Resorts|NALO|East||||Deflagged||
Residence Inn By Marriott Mt. Olive at International Trade Center|MSB|0011I00000cJXj1QAG|CDWRI|a1W1I000000aWKWUA2|F|Residence Inn By Marriott|NALO|East|0011I00000cJXj1QAG|0011I00000cJXj1QAG||Open||
CY CA Sacramento Cal Expo USA|MSB|||a1W1I000000aWKuUAM|F|Courtyard By Marriott|NALO|West||0011I00000cJXXBQA4||Cancelled||
FI/S CA Sacramento Cal Expo USA|MSB|||a1W1I000000aWKvUAM|F|Fairfield Inn & Suites|NALO|West||0011I00000cJXXBQA4||Cancelled||
Houston Marriott Sugar Land|FS|0011I00000cJXqsQAG|HOUSL|a1W1I000000aWLGUA2|F|Marriott Hotels & Resorts|NALO|West|0011I00000cJWMKQA4|0011I00000cJWMKQA4||Open||
Residence Inn By Marriott Tucson Williams Centre|MSB|0011I00000cJXUEQA4|TUSRI|a1W1I000000aWLYUA2|F|Residence Inn By Marriott|NALO|West|0011I00001I9I3oQAF|0011I00001I9I3oQAF||Open||
TownePlace Suites By Marriott Bowie Town Center|MSB|0011I00000cJXWVQA4|BWIBM|a1W1I000000aWLcUAM|F|TownePlace Suites By Marriott|NALO|East|0011I00000cJXWVQA4|0011I00000cJXWVQA4||Open||
Courtyard By Marriott Raleigh Midtown|MSB|0011I00000cJXVUQA4|RDUWF|a1W1I000000aWJYUA2|M|Courtyard By Marriott|NALO|East||0011I00000cJXhhQAG||Open||
Courtyard By Marriott Baltimore Hunt Valley|MSB|0011I00000cJXVUQA4|BWIHU|a1W1I000000aWJZUA2|M|Courtyard By Marriott|NALO|East||0011I00000yIz9HQAS||Open||
Courtyard By Marriott Augusta|MSB|0011I00000cJXVUQA4|AGSCH|a1W1I000000aWJwUAM|M|Courtyard By Marriott|NALO|East||0011I00000cJXhhQAG||Open||
Greenville|MSB||GLHFI|a1W1I000000aWJxUAM|F|Fairfield Inn By Marriott|NALO|East||||Deflagged||
Rotary House Hotel|FS|0011I00000cJXVUQA4|HOUJJ|a1W1I000000aWKPUA2|M|Marriott Conference Centers|NALO|West||0011I00000cJXoHQAW||Open||
Renaissance Atlanta Perimeter Hotel|FS|0011I00000cJXVUQA4||a1W1I000000aWKQUA2|O|Renaissance Hotels & Resorts|NALO|East||0011I00000cJXVUQA4||Cancelled||
Courtyard Chicago/Downtown|MSB|0011I00000cJXWpQAO|CHICD|a1W1I000000aWKRUA2|F|Courtyard By Marriott|NALO|West||0011I00000cJXWpQAO||Cancelled||
Residence Inn By Marriott Halifax Downtown|MSB|0011I00000cJXc1QAG|YHZRI|a1W1I000000aWKXUA2|F|Residence Inn By Marriott|NALO|Canada|0011I00000cJXc1QAG|0011I00000cJXc1QAG||Open||
Phoenix

FS,MSB,Luxury,Other


 Marriott Mesa|FS||PHXMM|a1W1I000000aWKwUAM|F|Marriott Hotels & Resorts|NALO|West||||Deflagged||
College Park|MSB|0011I00000cJXVUQA4||a1W1I000000aWKxUAM|O|Courtyard By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
Dallas/Plano Marriott at Legacy Town Center|FS|0011I00000cJXVUQA4|DALPT|a1W1I000000aWLHUA2|M|Marriott Hotels & Resorts|NALO|West||0011I00000cJXlPQAW||Open||
Fort Lauderdale Plantation|MSB|0011I00000cJXVUQA4|FLLTP|a1W1I000000aWLZUA2|O|TownePlace Suites By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
Fairfield Inn & Suites San Angelo|MSB|0011I00000cJXWYQA4|SJTFI|a1W1I000000aWLdUAM|F|Fairfield Inn & Suites|NALO|West|0011I00000cJXhhQAG|0011I00000cJXhhQAG||Open||
Mt. Laurel Marriott|FS||PHLLA|a1W1I000000aWLeUAM|F|Marriott Hotels & Resorts|NALO|East||||Deflagged||
Courtyard By Marriott Los Angeles Hacienda Heights/Orange County|MSB|0011I00000cJXVUQA4|LAXHH|a1W1I000000aWJaUAM|M|Courtyard By Marriott|NALO|West||0011I00000cJWOMQA4||Open||
Atlanta West/Lithia Springs|MSB||ATLSX|a1W1I000000aWJbUAM|F|Courtyard By Marriott|NALO|East||||Deflagged||
Fairfield Inn & Suites Jefferson City|MSB|0011I00000cJXpoQAG|COUJC|a1W1I000000aWJyUAM|F|Fairfield Inn & Suites|NALO|West|0011I00000cJXpoQAG|0011I00000cJXpoQAG||Open||
Courtyard By Marriott North Charleston Airport/Coliseum|MSB|0011I00000cJXVUQA4|CHSCN|a1W1I000000aWJzUAM|M|Courtyard By Marriott|NALO|East||0011I00000cJSNyQAO||Open||
Englewood|MSB|0011I00000cJXVZQA4|EWREG|a1W1I000000aWMMUA2|F|Residence Inn By Marriott|NALO|East|0011I00000cJXVZQA4|0011I00000cJXVZQA4||Cancelled||
RIBM TX Bryan/College Station Bryan/College Station USA|MSB|0011I00000cJXUzQAO||a1W1I000000aWMNUA2|F|Residence Inn By Marriott|NALO|West||0011I00000cJXUzQAO||Cancelled||
Chicago Marriott Hyde Park|FS|0011I00000cJXmfQAG||a1W1I000000aWMOUA2|F|Marriott Hotels & Resorts|NALO|West|0011I00000cJXmfQAG|0011I00000cJXmfQAG||Cancelled||
RIBM AZ Phoenix North/Bell Road USA|MSB|||a1W1I000000aWMPUA2|O|Residence Inn By Marriott|NALO|West||0011I00000cJXVUQA4||Cancelled||
Tampa Downtown|MSB|0011I00000cJXnDQAW||a1W1I000000aWMQUA2|F|SpringHill Suites By Marriott|NALO|East|0011I00000cJXnDQAW|0011I00000cJXnDQAW||Cancelled||
CY AZ Phoenix North/Bell Road USA|MSB|||a1W1I000000aWMRUA2|O|Courtyard By Marriott|NALO|West||0011I00000cJXVUQA4||Cancelled||
TPS FL Fort Lauderdale Weston USA|MSB||.|a1W1I000000aWMSUA2|O|TownePlace Suites By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
RIBM NE Omaha Downtown USA|MSB|0011I00000cJXVUQA4||a1W1I000000aWMTUA2|M|Residence Inn By Marriott|NALO|West||0011I00000cJWMVQA4||Cancelled||
