prop_id,prop_nm,MARSHA_TXT,PROP_STATUS_TXT,OPS_REGION_TXT,NALO_INTL_TXT,brand_txt,hotel_type_txt,OWNER_TYPE_TXT,DUD_DIVISION_CD,DUD_UNIT_CD,DUD_DEPT_CD,PEOPLESOFT_ID_DIVISION,PEOPLESOFT_ID_UNIT,PEOPLESOFT_ID_DEPT,PROP_MGR_TXT,PROP_OWNER_TXT,PROP_FRAN_TXT,PROP_AM_TXT
a1W1I000000aWLXUA2,Courtyard By Marriott Boston Copley Square,BOSDT,Open,East,NALO,Courtyard By Marriott,MSB,F,31,1CH,13,65,651CH,,0011I00000cJXoDQAW,0011I00000cJXoDQAW,0011I00000cJXoDQAW,
a1W1I000000aWZBUA2,Stamford Marriott Hotel & Spa,STFCT,Open,East,NALO,Marriott Hotels & Resorts,FS,F,34,120,,34,34120,,0011I00000cJXoDQAW,0011I00000cJXgfQAG,0011I00000cJXgfQAG,
a1W1I000000aWCmUAM,Renaissance New York Flushing Hotel at Tangram,NYCBU,Pre-Opening,East,NALO,Renaissance Hotels & Resorts,FS,F,71,F95,13,71,71F95,,0011I00000cJXoDQAW,0011I00000cJWYLQA4,0011I00000cJWYLQA4,
a1W1I000000aWypUAE,Courtyard By Marriott Canton,CAKCC,Open,West,NALO,Courtyard By Marriott,MSB,F,31,25F,13,65,6525F,,0011I00000cJXoDQAW,0011I00000cJXoDQAW,0011I00000cJXoDQAW,
a1W1I000000aYHjUAM,Residence Inn By Marriott New York The Bronx at Metro Center Atrium,NYCBX,Open,East,NALO,Residence Inn By Marriott,MSB,F,,,,,,,0011I00000cJXoDQAW,0011I00000cJXuHQAW,0011I00000cJXuHQAW,
a1W1I000000aXuEUAU,Fairfield Inn By Marriott Charlotte Northlake,CLTHB,Open,East,NALO,Fairfield Inn By Marriott,MSB,F,58,2QS,13,43,432QS,,0011I00000cJXoDQAW,0011I00000cJXk3QAG,0011I00000cJXk3QAG,
a1W1I000000aWzUUAU,Courtyard By Marriott Bethlehem Lehigh Valley/I-78,ABEBC,Open,East,NALO,Courtyard By Marriott,MSB,F,31,24Z,13,65,6524Z,,0011I00000cJXoDQAW,0011I00000cJXoDQAW,0011I00000cJXoDQAW,
a1W1I000000aWVOUA2,Four Points by Sheraton Canton,,Deflagged,West,NALO,Four Points by Sheraton,MSB,F,,,,,,,0011I00000cJXoDQAW,0011I00000cJXoDQAW,,
a1W1I000000aWXhUAM,Delta Hotels by Marriott Allentown Lehigh Valley,,Pre-Opening,East,NALO,Delta Hotels and Resorts,FS,F,,,,,,,0011I00000cJXoDQAW,0011I00000cJXxaQAG,0011I00000cJXxaQAG,
a1W1I000000aWZSUA2,Providence Marriott Downtown,PVDRI,Open,East,NALO,Marriott Hotels & Resorts,FS,F,34,222,,34,34222,,0011I00000cJXoDQAW,0011I00000cJXoDQAW,0011I00000cJXoDQAW,
a1W1I000000aWPcUAM,Marathon,,Cancelled,East,NALO,Residence Inn By Marriott,MSB,F,,,,,,,0011I00000cJXoDQAW,0011I00000cJWQgQAO,0011I00000cJWQgQAO,
a1W1I000000aXbtUAE,Fairfield Inn By Marriott Myrtle Beach North,MYRFN,Open,East,NALO,Fairfield Inn By Marriott,MSB,F,58,2PS,13,43,432PS,,0011I00000cJXoDQAW,0011I00000cJXk3QAG,0011I00000cJXk3QAG,
a1W1I000000aYG8UAM,Residence Inn By Marriott Amelia Island,JAXAR,Open,East,NALO,Residence Inn By Marriott,MSB,F,56,6FF,13,56,566FF,,0011I00000cJXoDQAW,0011I00000cJXoDQAW,0011I00000cJXoDQAW,
a1W1I000000ylqTUAQ,SpringHill Suites By Marriott Newburgh Stewart Airport,SWFAP,Pre-Opening,East,NALO,SpringHill Suites By Marriott,MSB,F,,,,,,,0011I00000cJXoDQAW,0011I00000cJXuHQAW,0011I00000cJXuHQAW,
a1W1I0000072ObTUAU,Center 100 Hotel,ABEDE,Open,East,NALO,Independent,Other,F,,,,,,,0011I00000cJXoDQAW,0011I00000cJXxaQAG,0011I00000cJXxaQAG,
