prop_id,prop_nm,MARSHA_TXT,PROP_STATUS_TXT,OPS_REGION_TXT,NALO_INTL_TXT,brand_txt,hotel_type_txt,OWNER_TYPE_TXT,DUD_DIVISION_CD,DUD_UNIT_CD,DUD_DEPT_CD,PEOPLESOFT_ID_DIVISION,PEOPLESOFT_ID_UNIT,PEOPLESOFT_ID_DEPT,PROP_MGR_TXT,PROP_OWNER_TXT,PROP_FRAN_TXT,PROP_AM_TXT
a1W1I000000aWKtUAM,Philadelphia Marriott Old City,PHLMO,Open,East,NALO,Marriott Hotels & Resorts,FS,F,,,,,,,0011I00000cJXheQAG,0011I00000cJXmtQAG,0011I00000cJXmtQAG,
a1W1I000000aWLFUA2,Bethesda North Marriott Hotel & Conference Center,WASBN,Open,East,NALO,Marriott Hotels & Resorts,FS,M,33,7V9,12,33,337V9,,0011I00000cJXVUQA4,0011I00000cJXV0QAO,,
a1W1I000000aWLWUA2,Chantilly,,Cancelled,East,NALO,SpringHill Suites By Marriott,MSB,O,,,,,,,0011I00000cJXVUQA4,0011I00000cJXVUQA4,,
a1W1I000000aWJXUA2,Courtyard By Marriott Palm Springs,PSPCH,Open,West,NALO,Courtyard By Marriott,MSB,M,31,1K8,1,31,311K8,,0011I00000cJXVUQA4,0011I00000cJWOMQA4,,
a1W1I000000aWJWUA2,Courtyard By Marriott Birmingham Colonnade/Grandview,BHMSC,Deflagged,East,NALO,Courtyard By Marriott,MSB,M,31,1Q7,1,31,311Q7,,0011I00000cJXVUQA4,0011I00000cJSNyQAO,,
a1W1I000000aWJvUAM,Courtyard By Marriott Memphis East/Park Avenue,MEMPA,Open,East,NALO,Courtyard By Marriott,MSB,M,31,1B8,1,31,311B8,,0011I00000cJXVUQA4,0011I00000cJXhhQAG,,
a1W1I000000aWKWUA2,Residence Inn By Marriott Mt. Olive at International Trade Center,CDWRI,Open,East,NALO,Residence Inn By Marriott,MSB,F,56,714,48,56,56714,,0011I00000cJXj1QAG,0011I00000cJXj1QAG,0011I00000cJXj1QAG,
a1W1I000000aWKNUA2,Trenton Marriott Downtown,TTNMC,Deflagged,East,NALO,Marriott Hotels & Resorts,FS,F,34,336,,34,34336,,,,,
a1W1I000000aWKOUA2,Knoxville Marriott,TYSMC,Deflagged,East,NALO,Marriott Hotels & Resorts,FS,F,34,187,,34,34187,,,,,
a1W1I000000aWLGUA2,Houston Marriott Sugar Land,HOUSL,Open,West,NALO,Marriott Hotels & Resorts,FS,F,34,264,,34,34264,,0011I00000cJXqsQAG,0011I00000cJWMKQA4,0011I00000cJWMKQA4,
a1W1I000000aWKuUAM,CY CA Sacramento Cal Expo USA,,Cancelled,West,NALO,Courtyard By Marriott,MSB,F,,,,,,,,0011I00000cJXXBQA4,,
a1W1I000000aWKvUAM,FI/S CA Sacramento Cal Expo USA,,Cancelled,West,NALO,Fairfield Inn & Suites,MSB,F,,,,,,,,0011I00000cJXXBQA4,,
a1W1I000000aWLYUA2,Residence Inn By Marriott Tucson Williams Centre,TUSRI,Open,West,NALO,Residence Inn By Marriott,MSB,F,56,748,48,56,56748,,0011I00000cJXUEQA4,0011I00001I9I3oQAF,0011I00001I9I3oQAF,
a1W1I000000aWLcUAM,TownePlace Suites By Marriott Bowie Town Center,BWIBM,Open,East,NALO,TownePlace Suites By Marriott,MSB,F,68,5ZS,13,68,685ZS,,0011I00000cJXWVQA4,0011I00000cJXWVQA4,0011I00000cJXWVQA4,
a1W1I000000aWJYUA2,Courtyard By Marriott Raleigh Midtown,RDUWF,Open,East,NALO,Courtyard By Marriott,MSB,M,31,1AB,1,31,311AB,,0011I00000cJXVUQA4,0011I00000cJXhhQAG,,
a1W1I000000aWJZUA2,Courtyard By Marriott Baltimore Hunt Valley,BWIHU,Open,East,NALO,Courtyard By Marriott,MSB,M,31,1D8,1,31,311D8,,0011I00000cJXVUQA4,0011I00000yIz9HQAS,,
a1W1I000000aWJwUAM,Courtyard By Marriott Augusta,AGSCH,Open,East,NALO,Courtyard By Marriott,MSB,M,31,1A4,1,31,311A4,,0011I00000cJXVUQA4,0011I00000cJXhhQAG,,
a1W1I000000aWKPUA2,Rotary House Hotel,HOUJJ,Open,West,NALO,Marriott Conference Centers,FS,M,61,AM8,1,61,61AM8,,0011I00000cJXVUQA4,0011I00000cJXoHQAW,,
a1W1I000000aWJxUAM,Greenville,GLHFI,Deflagged,East,NALO,Fairfield Inn By Marriott,MSB,F,58,2SK,13,43,432SK,,,,,
a1W1I000000aWKXUA2,Residence Inn By Marriott Halifax Downtown,YHZRI,Open,Canada,NALO,Residence Inn By Marriott,MSB,F,56,751,48,56,56751,,0011I00000cJXc1QAG,0011I00000cJXc1QAG,0011I00000cJXc1QAG,
a1W1I000000aWKQUA2,Renaissance Atlanta Perimeter Hotel,,Cancelled,East,NALO,Renaissance Hotels & Resorts,FS,O,,,,,,,0011I00000cJXVUQA4,0011I00000cJXVUQA4,,
a1W1I000000aWKRUA2,Courtyard Chicago/Downtown,CHICD,Cancelled,West,NALO,Courtyard By Marriott,MSB,F,,,,,,,0011I00000cJXWpQAO,0011I00000cJXWpQAO,,
a1W1I000000aWLHUA2,Dallas/Plano Marriott at Legacy Town Center,DALPT,Open,West,NALO,Marriott Hotels & Resorts,FS,M,33,7Z1,12,33,337Z1,,0011I00000cJXVUQA4,0011I00000cJXlPQAW,,
a1W1I000000aWKwUAM,Phoenix Marriott Mesa,PHXMM,Deflagged,West,NALO,Marriott Hotels & Resorts,FS,F,34,230,,34,34230,,,,,
a1W1I000000aWKxUAM,College Park,,Cancelled,East,NALO,Courtyard By Marriott,MSB,O,,,,,,,0011I00000cJXVUQA4,0011I00000cJXVUQA4,,
a1W1I000000aWLdUAM,Fairfield Inn & Suites San Angelo,SJTFI,Open,West,NALO,Fairfield Inn & Suites,MSB,F,58,2VX,13,43,432VX,,0011I00000cJXWYQA4,0011I00000cJXhhQAG,0011I00000cJXhhQAG,
a1W1I000000aWLZUA2,Fort Lauderdale Plantation,FLLTP,Cancelled,East,NALO,TownePlace Suites By Marriott,MSB,O,64,5BK,1,64,645BK,,0011I00000cJXVUQA4,0011I00000cJXVUQA4,,
a1W1I000000aWJaUAM,Courtyard By Marriott Los Angeles Hacienda Heights/Orange County,LAXHH,Open,West,NALO,Courtyard By Marriott,MSB,M,31,1L8,1,31,311L8,,0011I00000cJXVUQA4,0011I00000cJWOMQA4,,
a1W1I000000aWLeUAM,Mt. Laurel Marriott,PHLLA,Deflagged,East,NALO,Marriott Hotels & Resorts,FS,F,34,286,,34,34286,,,,,
a1W1I000000aWJyUAM,Fairfield Inn & Suites Jefferson City,COUJC,Open,West,NALO,Fairfield Inn & Suites,MSB,F,58,2EJ,13,43,432EJ,,0011I00000cJXpoQAG,0011I00000cJXpoQAG,0011I00000cJXpoQAG,
a1W1I000000aWJbUAM,Atlanta West/Lithia Springs,ATLSX,Deflagged,East,NALO,Courtyard By Marriott,MSB,F,31,11H,13,65,6511H,,,,,
a1W1I000000aWJzUAM,Courtyard By Marriott North Charleston Airport/Coliseum,CHSCN,Open,East,NALO,Courtyard By Marriott,MSB,M,31,1QH,1,31,311QH,,0011I00000cJXVUQA4,0011I00000cJSNyQAO,,
a1W1I000000aWLmUAM,Residence Inn By Marriott Charleston Airport,CHSNO,Open,East,NALO,Residence Inn By Marriott,MSB,F,56,5A2,48,56,565A2,,0011I00000cJXrGQAW,0011I00000cJXrGQAW,0011I00000cJXrGQAW,
a1W1I000000aWMMUA2,Englewood,EWREG,Cancelled,East,NALO,Residence Inn By Marriott,MSB,F,56,5G5,48,,,,0011I00000cJXVZQA4,0011I00000cJXVZQA4,0011I00000cJXVZQA4,
a1W1I000000aWMNUA2,RIBM TX Bryan/College Station Bryan/College Station USA,,Cancelled,West,NALO,Residence Inn By Marriott,MSB,F,,,,,,,0011I00000cJXUzQAO,0011I00000cJXUzQAO,,
a1W1I000000aWMOUA2,Chicago Marriott Hyde Park,,Cancelled,West,NALO,Marriott Hotels & Resorts,FS,F,,,,,,,0011I00000cJXmfQAG,0011I00000cJXmfQAG,0011I00000cJXmfQAG,
a1W1I000000aWMPUA2,RIBM AZ Phoenix North/Bell Road USA,,Cancelled,West,NALO,Residence Inn By Marriott,MSB,O,,,,,,,,0011I00000cJXVUQA4,,
a1W1I000000aWMQUA2,Tampa Downtown,,Cancelled,East,NALO,SpringHill Suites By Marriott,MSB,F,,,,,,,0011I00000cJXnDQAW,0011I00000cJXnDQAW,0011I00000cJXnDQAW,
a1W1I000000aWMRUA2,CY AZ Phoenix North/Bell Road USA,,Cancelled,West,NALO,Courtyard By Marriott,MSB,O,,,,,,,,0011I00000cJXVUQA4,,
a1W1I000000aWMSUA2,TPS FL Fort Lauderdale Weston USA,.,Cancelled,East,NALO,TownePlace Suites By Marriott,MSB,O,,,,,,,,0011I00000cJXVUQA4,,
a1W1I000000aWMTUA2,RIBM NE Omaha Downtown USA,,Cancelled,West,NALO,Residence Inn By Marriott,MSB,M,,,,,,,0011I00000cJXVUQA4,0011I00000cJWMVQA4,,
a1W1I000000aWMUUA2,FFI AR Bentonville Bentonville USA,,Cancelled,East,NALO,Fairfield Inn By Marriott,MSB,F,,,,,,,0011I00000cJXVkQAO,0011I00000cJXVkQAO,,
a1W1I000000aWMVUA2,RIBM IL Chicago Warrenville/Naperville USA,,Cancelled,West,NALO,Residence Inn By Marriott,MSB,O,,,,,,,,0011I00000cJXVUQA4,,
a1W1I000000aWMWUA2,CY TX Austin Northwest USA,,Cancelled,West,NALO,Courtyard By Marriott,MSB,O,,,,,,,,0011I00000cJXVUQA4,,
a1W1I000000aWMXUA2,FI CA Salinas Salinas USA,,Cancelled,West,NALO,Fairfield Inn By Marriott,MSB,F,,,,,,,0011I00000cJXUzQAO,0011I00000cJXUzQAO,,
a1W1I000000aWMYUA2,RIBM IL Chicago St. Charles USA,,Cancelled,West,NALO,Residence Inn By Marriott,MSB,F,,,,,,,0011I00000cJXUzQAO,0011I00000cJXUzQAO,,
a1W1I000000aWMZUA2,Austin Downtown Renaissance,,Cancelled,West,NALO,Renaissance Hotels & Resorts,FS,F,,,,,,,0011I00000cJXmfQAG,0011I00000cJXmfQAG,0011I00000cJXmfQAG,
a1W1I000000aWMaUAM,Morristown,EWRMO,Cancelled,East,NALO,Residence Inn By Marriott,MSB,F,56,6C7,13,,,,0011I00000cJXWYQA4,0011I00000cJXcHQAW,0011I00000cJXcHQAW,
a1W1I000000aWMbUAM,TPS FL Orlando Altamonte Springs USA,.,Cancelled,East,NALO,TownePlace Suites By Marriott,MSB,F,,,,,,,,0011I00000cJXnyQAG,,
a1W1I000000aWMcUAM,CY VA Washington DC Springfield/Springfield Mall USA,,Cancelled,East,NALO,Courtyard By Marriott,MSB,O,,,,,,,,0011I00000cJXVUQA4,,
a1W1I000000aWMdUAM,TPS VA Richmond Chesterfield (Boulders) USA,.,Cancelled,East,NALO,TownePlace Suites By Marriott,MSB,O,,,,,,,,0011I00000cJXVUQA4,,
a1W1I000000aWMeUAM,CY CA Orange County Anaheim USA,,Cancelled,West,NALO,Courtyard By Marriott,MSB,F,,,,,,,0011I00000cJXo4QAG,0011I00000cJXo4QAG,,
a1W1I000000aWMfUAM,CY CA Oakland Emeryville USA,,Cancelled,West,NALO,Courtyard By Marriott,MSB,O,,,,,,,,0011I00000cJXVUQA4,,
a1W1I000000aWLlUAM,Portland Pioneer Square,,Cancelled,West,NALO,Renaissance Hotels & Resorts,FS,F,,,,,,,0011I00000cJXluQAG,0011I00000cJXluQAG,0011I00000cJXluQAG,
a1W1I000000aWMkUAM,Atlanta Marriott Buckhead Hotel & Conference Center,ATLBC,Open,East,NALO,Marriott Hotels & Resorts,FS,F,34,500,,34,34500,,0011I00000cJXrGQAW,0011I00000cJXrGQAW,0011I00000cJXrGQAW,
a1W1I000000aWLsUAM,Residence Inn By Marriott Ontario Rancho Cucamonga,ONTCU,Open,West,NALO,Residence Inn By Marriott,MSB,F,,,,,,,0011I00000cJXd8QAG,0011I00000cJXd8QAG,0011I00000cJXd8QAG,
a1W1I000000aWMgUAM,RIBM VA Washington DC Fairfax-Fair Lakes Add'l Rms USA,.,Cancelled,East,NALO,Residence Inn By Marriott,MSB,M,,,,,,,,0011I00000cJXVUQA4,,
a1W1I000000aWMhUAM,Greenville,,Cancelled,East,NALO,SpringHill Suites By Marriott,MSB,F,,,,,,,0011I00000cJXlhQAG,0011I00000cJXlhQAG,0011I00000cJXlhQAG,
a1W1I000000aWMiUAM,Louisville Airport,,Cancelled,West,NALO,Fairfield Inn & Suites,MSB,F,,,,,,,0011I00000cJScgQAG,0011I00000cJXeBQAW,0011I00000cJXeBQAW,
a1W1I000000aWLtUAM,The Miami Beach Edition Residences,MIA17,Open,East,NALO,Edition,Luxury,M,,,,,,,0011I00000cJXVUQA4,0011I00000cJXVUQA4,,
a1W1I000000aWLoUAM,Fort Myers Airport /Gulf Coast Mall,,Cancelled,East,NALO,Courtyard By Marriott,MSB,M,,,,,,,0011I00000cJXVUQA4,0011I00000cJXUYQA4,,
a1W1I000000aWLpUAM,St. Petersburg Downtown,,Cancelled,East,NALO,Courtyard By Marriott,MSB,M,,,,,,,0011I00000cJXVUQA4,0011I00000cJUMSQA4,,
a1W1I000000aWMuUAM,AC Hotel By Marriott Dallas Irving,,Pre-Opening,West,NALO,AC Hotels By Marriott,MSB,F,,,,,,,0011I00000cJXuUQAW,0011I00000cJWOxQAO,0011I00000cJWOxQAO,
a1W1I000000aWMvUAM,Residence Inn By Marriott Dallas Irving,,Pre-Opening,West,NALO,Residence Inn By Marriott,MSB,F,,,,,,,0011I00000cJXuUQAW,0011I00000cJWOxQAO,0011I00000cJWOxQAO,
a1W1I000000aWMlUAM,CY IL Chicago Downtown/West Loop USA,CHIDW,Cancelled,West,NALO,Courtyard By Marriott,MSB,M,,,,,,,0011I00000cJXVUQA4,0011I00000cJWMVQA4,,
a1W1I000000aWMmUAM,RIBM CO Denver Downtown USA,,Cancelled,West,NALO,Residence Inn By Marriott,MSB,F,,,,,,,0011I00000cJXluQAG,0011I00000cJXluQAG,,
a1W1I000000aWMnUAM,FI CA Ventura County Camarillo USA,,Cancelled,West,NALO,Fairfield Inn By Marriott,MSB,F,,,,,,,,0011I00000cJXUVQA4,,
a1W1I000000aWLzUAM,TownePlace Suites By Marriott Kansas City Olathe,,Pre-Opening,West,NALO,TownePlace Suites By Marriott,MSB,F,,,,,,,0011I00000cJXpPQAW,0011I00000cJXpPQAW,0011I00000cJXpPQAW,
a1W1I000000aWM1UAM,Aloft Atlanta at The Battery Atlanta,ATLAE,Open,East,NALO,Aloft Hotels,MSB,F,,,,,,,0011I00000cJXnlQAG,0011I00000cJXnlQAG,0011I00000cJXnlQAG,
a1W1I000000aWMoUAM,Long Island Brookhaven/ USA,,Cancelled,East,NALO,SpringHill Suites By Marriott,MSB,F,,,,,,,0011I00000cJXVZQA4,0011I00000cJXVZQA4,,
a1W1I000000aWMpUAM,CY  Victoria Downtown Canada,,Cancelled,Canada,NALO,Courtyard By Marriott,MSB,F,,,,,,,0011I00000cJXlVQAW,0011I00000cJXlVQAW,,
a1W1I000000aWMqUAM,RIBM VA Washington DC Arlington/North Glebe USA,,Cancelled,East,NALO,Residence Inn By Marriott,MSB,O,,,,,,,,0011I00000cJXVUQA4,,
a1W1I000000aWMrUAM,RIBM FL Orlando World Gate USA,,Cancelled,East,NALO,Residence Inn By Marriott,MSB,O,,,,,,,,0011I00000cJXVUQA4,,
a1W1I000000aWMsUAM,Johnson & Wales University Renaissance,,Cancelled,West,NALO,Renaissance Hotels & Resorts,FS,F,,,,,,,0011I00000cJXluQAG,0011I00000cJXluQAG,0011I00000cJXluQAG,
a1W1I000000aWMtUAM,RIBM PA Philadelphia Northeast/Franklin Mills USA,,Cancelled,East,NALO,Residence Inn By Marriott,MSB,F,,,,,,,0011I00000cJXUzQAO,0011I00000cJXUzQAO,,
a1W1I000000aWMDUA2,Fairfield Inn & Suites Hailey Sun Valley,SUNFI,Open,West,NALO,Fairfield Inn & Suites,MSB,F,,,,,,,0011I00000cJXijQAG,0011I00000cJXijQAG,0011I00000cJXijQAG,
a1W1I000000aWLuUAM,Dallas DFW Airport North/Grapevine,DALGS,Deflagged,West,NALO,Fairfield Inn & Suites,MSB,F,58,27J,13,43,4327J,,,,,
a1W1I000000aWdYUAU,Residence Inn By Marriott Santa Clarita Chatsworth,LAXRT,Pre-Opening,West,NALO,Residence Inn By Marriott,MSB,F,,,,,,,0011I00000cJXsyQAG,0011I00000cJXsyQAG,0011I00000cJXsyQAG,
a1W1I000000aWddUAE,Courtyard by Marriott Bilaspur,PABCY,Open,APEC,INTL,Courtyard By Marriott,MSB,M,,,,,,,0011I00000cJSKkQAO,0011I00000cJXosQAG,,
a1W1I000000aWMwUAM,SHS NM Santa Fe Santa Fe USA,,Cancelled,West,NALO,SpringHill Suites By Marriott,MSB,O,,,,,,,,0011I00000cJXVUQA4,,
